#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
A,betterlockscreen,"A simple lock script for i3block-color"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,adobe-source-code-pro-fonts,"fonts"
,ttf-droid,"fonts by Google"
A,ttf-material-design-icons-git,"Material design icons"
A,ttf-roboto-mono,"Roboto Mono is a monospaced addition to the Roboto type family."
,vifm,"is an extensive terminal file manager that everyone likes."
,ed,"is the standard editor!"
,tree,"lists directory contents like trees. Used by vifm."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,compton,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,feh,"is a minimalist image viewer."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,seahorse,"GNOME application for managing PGP keys."
,neovim,"an tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
,firefox-developer-edition,"Firefox for developers"
A,google-chrome,"Chrome browser"
,brave,"Web browser that blocks ads and trackers by default (latest binary release)."
,noto-fonts-emoji,"Emoji"
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,htop,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
,docx2txt,"enables .docx file previews in vifm."
,odt2txt,"enables .odt file previews in vifm."
A,discord,"All-in-one voice and text chat for gamers that's free and secure."
,baobab,"A graphical directory tree analyzer"
A,bibata-cursor-theme,"Material Based Cursor Theme."
,code,"Visual studio code"
,timeshift,"A system restore utility for Linux"
,docker,"Docker"
,docker-compose,"Docker compose"
,gpick,"Advanced color picker written in C++ using GTK+ toolkit"
,lxappearance,"Feature-rich GTK+ theme switcher of the LXDE Desktop"
,neofetch,"A CLI system information tool written in BASH that supports displaying images."
A,nerd-fonts-complete,"Nerd fonts"
,numlockx,"Turns on the numlock key in X11."
A,otf-san-francisco,"Apple font"
,pacgraph,"For the bloat"
A,pamac-aur,"GUI for pacman"
,playerctl,"mpris media player controller and lib for spotify, vlc, audacious, bmp, xmms2, and others."
A,polybar,"Alternative to i3bar"
,rofi,"Alternative to dmenu"
,rxvt-unicode,"terminal"
,alacritty,"terminal"
A,spotify,"Music streaming service"
,telegram-desktop,"chat"
,wpa_supplicant,"WPA stuff"
,xorg-xev,"To intercept x events"
,lightdm,"Login manager"
,lightdm-gtk-greeter,"Default greeter for Lightdm"
